id,target
0,0
2,0
3,0
9,0
11,0
12,1
21,1
22,1
27,1
29,1
30,1
35,1
42,1
43,1
45,1
46,0
47,1
51,1
58,1
60,1
69,1
70,0
72,1
75,0
84,1
87,1
88,1
90,0
94,1
99,0
101,0
103,1
106,0
108,0
111,0
115,1
116,0
122,0
123,1
124,0
125,1
127,0
140,0
142,0
147,1
148,0
150,1
152,1
154,0
155,1
166,1
167,1
169,0
177,1
179,1
181,1
186,1
188,1
189,1
192,1
200,0
202,0
206,0
207,0
214,0
217,0
223,0
224,0
227,1
228,0
230,1
233,1
234,0
236,0
239,0
250,0
255,1
257,1
259,1
275,0
278,1
282,1
284,1
286,1
288,0
292,0
295,1
300,1
304,0
305,0
306,1
308,1
311,1
317,1
319,1
323,1
324,1
325,1
326,1
333,1
339,1
342,1
343,0
350,1
351,0
357,0
359,0
362,1
366,0
367,0
369,0
373,1
374,0
376,1
377,0
378,0
379,0
382,0
385,0
387,0
388,0
391,0
392,0
395,0
399,1
400,1
403,1
405,0
408,1
411,1
414,1
416,1
417,0
422,0
425,1
428,1
430,1
431,1
433,1
434,1
439,1
441,1
449,1
458,1
460,1
464,1
473,1
488,1
491,1
494,1
497,1
500,1
505,1
507,1
508,1
510,1
511,1
515,1
525,1
529,1
532,1
534,1
537,1
539,1
541,1
545,1
547,0
548,0
549,0
553,0
554,1
555,0
557,0
562,1
566,0
572,0
573,0
582,0
586,0
587,1
590,0
591,1
593,1
595,0
596,0
597,1
601,1
602,1
605,0
610,0
616,1
618,0
620,0
626,1
627,1
629,1
632,0
634,1
639,1
645,0
647,0
648,1
650,0
663,1
666,1
668,0
670,1
673,0
676,1
678,1
692,1
693,0
694,0
695,1
696,0
698,1
701,1
703,0
707,0
708,0
711,0
715,0
718,1
722,1
723,1
733,0
741,0
742,0
743,1
747,1
749,1
750,1
756,1
757,1
760,1
764,1
765,1
766,1
768,1
769,1
771,1
772,1
776,1
778,0
780,1
785,1
789,1
792,1
793,1
811,0
813,1
816,1
821,1
824,1
825,1
827,1
830,0
831,0
839,0
844,1
847,0
850,1
854,0
855,1
858,1
861,0
862,1
865,0
869,0
879,0
880,0
887,0
889,1
897,0
900,0
901,0
904,0
908,0
909,1
910,1
913,0
914,0
917,0
918,1
920,0
922,0
924,0
925,0
927,0
933,1
937,1
943,1
949,1
950,0
954,1
966,1
967,1
969,0
970,0
973,0
975,0
980,1
988,1
989,1
995,1
1000,1
1003,1
1007,1
1011,0
1012,1
1013,0
1014,1
1016,0
1019,1
1025,1
1027,0
1028,0
1030,0
1033,0
1034,1
1039,1
1046,1
1047,1
1053,1
1055,1
1056,1
1059,0
1060,1
1063,0
1064,1
1068,1
1076,1
1086,1
1087,1
1089,1
1092,1
1095,1
1096,1
1097,0
1100,1
1101,1
1107,1
1108,1
1111,1
1115,1
1116,0
1121,1
1125,1
1127,1
1131,0
1133,0
1135,1
1137,0
1140,1
1144,1
1147,0
1148,0
1150,1
1158,1
1159,1
1161,1
1163,1
1165,1
1169,0
1171,0
1172,1
1176,1
1180,1
1184,1
1186,1
1187,1
1192,1
1193,1
1194,1
1197,0
1200,1
1205,1
1210,1
1216,1
1220,1
1231,1
1233,1
1246,1
1247,1
1248,1
1255,1
1256,1
1257,1
1258,1
1260,1
1261,1
1265,1
1266,1
1268,1
1274,1
1281,1
1285,1
1286,1
1291,1
1292,1
1295,1
1299,1
1306,1
1310,1
1311,1
1313,1
1314,1
1322,1
1323,1
1325,1
1329,1
1330,1
1333,1
1336,0
1339,1
1342,1
1344,1
1355,0
1357,1
1358,1
1359,1
1364,1
1366,0
1367,1
1370,0
1373,1
